method,anchor_class,target_class,sequence_id,time_index,difference_norm
methodA,ambiguous,polite,11,0,0.06644368171691895
methodA,ambiguous,polite,11,1,0.050565190613269806
methodA,ambiguous,polite,11,2,0.17763347923755646
methodA,ambiguous,polite,11,3,0.1902955025434494
methodA,ambiguous,polite,11,4,0.2595265805721283
methodA,ambiguous,polite,11,5,0.2972273528575897
methodA,ambiguous,polite,11,6,0.3529498279094696
methodA,ambiguous,polite,11,7,0.479129821062088
methodA,ambiguous,polite,11,8,0.4526234567165375
methodA,ambiguous,polite,11,9,0.4584028124809265
methodA,ambiguous,polite,11,10,0.4326038956642151
methodA,ambiguous,polite,11,11,0.39394381642341614
methodA,ambiguous,polite,11,12,0.4422702491283417
methodA,ambiguous,polite,11,13,0.4260440766811371
methodA,ambiguous,polite,11,14,0.456830233335495
methodA,ambiguous,polite,11,15,0.4486134946346283
methodA,ambiguous,polite,11,16,0.4523617625236511
methodA,ambiguous,polite,11,17,0.3880141079425812
methodA,ambiguous,polite,11,18,0.3774777948856354
methodA,ambiguous,polite,11,19,0.36007043719291687
methodA,polite,polite,13,0,0.08360061794519424
methodA,polite,polite,13,1,0.03548227250576019
methodA,polite,polite,13,2,0.07144875824451447
methodA,polite,polite,13,3,0.10699069499969482
methodA,polite,polite,13,4,0.18059879541397095
methodA,polite,polite,13,5,0.23099692165851593
methodA,polite,polite,13,6,0.25632205605506897
methodA,polite,polite,13,7,0.25811389088630676
methodA,polite,polite,13,8,0.2590893805027008
methodA,polite,polite,13,9,0.25953230261802673
methodA,polite,polite,13,10,0.25931525230407715
methodA,polite,polite,13,11,0.27153661847114563
methodA,polite,polite,13,12,0.3241591155529022
methodA,polite,polite,13,13,0.33169564604759216
methodA,polite,polite,13,14,0.3486384451389313
methodA,polite,polite,13,15,0.36404258012771606
methodA,polite,polite,13,16,0.36843886971473694
methodA,polite,polite,13,17,0.36425909399986267
methodA,polite,polite,13,18,0.35230085253715515
methodA,polite,polite,13,19,0.3597129285335541
methodA,truesmile,polite,13,0,0.11427823454141617
methodA,truesmile,polite,13,1,0.09813091158866882
methodA,truesmile,polite,13,2,0.1599084883928299
methodA,truesmile,polite,13,3,0.2312707006931305
methodA,truesmile,polite,13,4,0.31926804780960083
methodA,truesmile,polite,13,5,0.37297293543815613
methodA,truesmile,polite,13,6,0.41114601492881775
methodA,truesmile,polite,13,7,0.3984367549419403
methodA,truesmile,polite,13,8,0.42829594016075134
methodA,truesmile,polite,13,9,0.4357941746711731
methodA,truesmile,polite,13,10,0.4494657814502716
methodA,truesmile,polite,13,11,0.4526123106479645
methodA,truesmile,polite,13,12,0.5034308433532715
methodA,truesmile,polite,13,13,0.5003758668899536
methodA,truesmile,polite,13,14,0.5207037329673767
methodA,truesmile,polite,13,15,0.5474042296409607
methodA,truesmile,polite,13,16,0.5510207414627075
methodA,truesmile,polite,13,17,0.5547817945480347
methodA,truesmile,polite,13,18,0.5256155729293823
methodA,truesmile,polite,13,19,0.5275408625602722
methodA,ambiguous,polite,13,0,0.08585098385810852
methodA,ambiguous,polite,13,1,0.03736893832683563
methodA,ambiguous,polite,13,2,0.07410524785518646
methodA,ambiguous,polite,13,3,0.1086229607462883
methodA,ambiguous,polite,13,4,0.19063222408294678
methodA,ambiguous,polite,13,5,0.22540508210659027
methodA,ambiguous,polite,13,6,0.2592693567276001
methodA,ambiguous,polite,13,7,0.2770482897758484
methodA,ambiguous,polite,13,8,0.29092133045196533
methodA,ambiguous,polite,13,9,0.3003023564815521
methodA,ambiguous,polite,13,10,0.29832953214645386
methodA,ambiguous,polite,13,11,0.3103843927383423
methodA,ambiguous,polite,13,12,0.3543452322483063
methodA,ambiguous,polite,13,13,0.3679530620574951
methodA,ambiguous,polite,13,14,0.3814500868320465
methodA,ambiguous,polite,13,15,0.39171528816223145
methodA,ambiguous,polite,13,16,0.39429643750190735
methodA,ambiguous,polite,13,17,0.3990432322025299
methodA,ambiguous,polite,13,18,0.3967428505420685
methodA,ambiguous,polite,13,19,0.39690402150154114
methodA,polite,polite,15,0,0.05624626949429512
methodA,polite,polite,15,1,0.07608437538146973
methodA,polite,polite,15,2,0.11939934641122818
methodA,polite,polite,15,3,0.15733422338962555
methodA,polite,polite,15,4,0.18725883960723877
methodA,polite,polite,15,5,0.4612622559070587
methodA,polite,polite,15,6,0.3124086856842041
methodA,polite,polite,15,7,0.2880714237689972
methodA,polite,polite,15,8,0.3246161639690399
