method,class,sequence_id,time_index,projection_ratio,off_axis_ratio
methodB,polite,18,10,0.015775473788380623,0.7956023812294006
methodB,polite,18,11,0.07796914875507355,0.8560472130775452
methodB,polite,18,12,0.2545730471611023,0.9933577179908752
methodB,polite,18,13,0.2466605007648468,1.0030663013458252
methodB,polite,18,14,0.348923921585083,1.1678913831710815
methodB,polite,18,15,0.36181172728538513,1.0915414094924927
methodB,polite,18,16,0.31140434741973877,0.976568877696991
methodB,polite,18,17,0.2576828896999359,1.0312910079956055
methodB,polite,18,18,0.21917425096035004,0.900333046913147
methodB,polite,18,19,0.2135688066482544,0.9266409873962402
methodB,polite,19,0,0.0,0.0
methodB,polite,19,1,0.07796289026737213,0.27780866622924805
methodB,polite,19,2,0.13782531023025513,0.48267805576324463
methodB,polite,19,3,0.06832905858755112,0.5651513338088989
methodB,polite,19,4,0.04406687989830971,0.5425514578819275
methodB,polite,19,5,0.08714508265256882,0.5184589624404907
methodB,polite,19,6,0.051821257919073105,0.46725109219551086
methodB,polite,19,7,-0.08541814237833023,0.5994629859924316
methodB,polite,19,8,-0.009608607739210129,0.5464212894439697
methodB,polite,19,9,0.05867072194814682,0.6554710268974304
methodB,polite,19,10,0.1737530678510666,0.7948573231697083
methodB,polite,19,11,0.26663291454315186,0.9560711979866028
methodB,polite,19,12,0.27199244499206543,0.9904540181159973
methodB,polite,19,13,0.28432053327560425,1.080991268157959
methodB,polite,19,14,0.3260134160518646,0.8864110112190247
methodB,polite,19,15,0.38227251172065735,0.7868559956550598
methodB,polite,19,16,0.3514440655708313,0.8989793062210083
methodB,polite,19,17,0.2760249078273773,0.8291716575622559
methodB,polite,19,18,0.25036466121673584,0.6885097026824951
methodB,polite,19,19,0.22606772184371948,0.8125739097595215
methodB,polite,2,0,0.0,0.0
methodB,polite,2,1,0.030829623341560364,0.23180635273456573
methodB,polite,2,2,0.05321596562862396,0.3781321346759796
methodB,polite,2,3,0.09221982955932617,0.4477592408657074
methodB,polite,2,4,0.08723244071006775,0.5194101929664612
methodB,polite,2,5,0.016736267134547234,0.5922605395317078
methodB,polite,2,6,0.06484769284725189,0.7380196452140808
methodB,polite,2,7,0.06902211904525757,0.7624508738517761
methodB,polite,2,8,0.07835417985916138,0.7781503200531006
methodB,polite,2,9,0.0734463706612587,0.8147801160812378
methodB,polite,2,10,0.061300456523895264,0.8411078453063965
methodB,polite,2,11,0.03231489658355713,0.7092592716217041
methodB,polite,2,12,-0.01191338337957859,0.6437201499938965
methodB,polite,2,13,-0.018074756488204002,0.5373008847236633
methodB,polite,2,14,-0.06267733871936798,0.5210772156715393
methodB,polite,2,15,-0.034588947892189026,0.5293318629264832
methodB,polite,2,16,-0.012521833181381226,0.5488166213035583
methodB,polite,2,17,-0.03048943541944027,0.49891310930252075
methodB,polite,2,18,-0.04837227240204811,0.5677264928817749
methodB,polite,2,19,0.018522959202528,0.5538981556892395
methodB,polite,21,0,0.0,0.0
methodB,polite,21,1,0.015241244807839394,0.14958377182483673
methodB,polite,21,2,0.040944166481494904,0.22432392835617065
methodB,polite,21,3,0.011993210762739182,0.3062540590763092
methodB,polite,21,4,-0.07272247225046158,0.46405893564224243
methodB,polite,21,5,-0.08232322335243225,0.7123148441314697
methodB,polite,21,6,-0.05978568270802498,0.7386913895606995
methodB,polite,21,7,0.034324146807193756,0.8347371816635132
methodB,polite,21,8,0.06880223006010056,0.773990273475647
methodB,polite,21,9,0.08117879927158356,0.7579960227012634
methodB,polite,21,10,0.1108192428946495,0.7632694840431213
methodB,polite,21,11,0.08994297683238983,0.6357190012931824
methodB,polite,21,12,0.07247254997491837,0.6267282962799072
methodB,polite,21,13,0.0822703167796135,0.6037414073944092
methodB,polite,21,14,0.01114063523709774,0.6079462170600891
methodB,polite,21,15,-0.03240852802991867,0.5409020185470581
methodB,polite,21,16,-0.028831856325268745,0.517803966999054
methodB,polite,21,17,-0.08817365020513535,0.5073080062866211
methodB,polite,21,18,-0.06823193281888962,0.41143137216567993
methodB,polite,21,19,-0.06320053339004517,0.38604170083999634
methodB,polite,22,0,0.0,0.0
methodB,polite,22,1,0.010487871244549751,0.26460933685302734
methodB,polite,22,2,0.061784401535987854,0.3679683804512024
methodB,polite,22,3,0.10590507090091705,0.5296006202697754
methodB,polite,22,4,0.11118409782648087,0.4697236716747284
methodB,polite,22,5,0.04768511652946472,0.4827883243560791
methodB,polite,22,6,0.01232884731143713,0.42658188939094543
methodB,polite,22,7,0.04260927066206932,0.4583987891674042
methodB,polite,22,8,0.053205911070108414,0.4813759922981262
methodB,polite,22,9,0.07797054201364517,0.47715723514556885
methodB,polite,22,10,0.05636085197329521,0.5004561543464661
methodB,polite,22,11,0.087104432284832,0.5006733536720276
methodB,polite,22,12,0.09958278387784958,0.5239625573158264
methodB,polite,22,13,0.11319366842508316,0.5185592174530029
methodB,polite,22,14,0.12159618735313416,0.5413963198661804
methodB,polite,22,15,0.10709729045629501,0.5511116981506348
methodB,polite,22,16,0.05102827399969101,0.5738052725791931
methodB,polite,22,17,0.03303257003426552,0.6580267548561096
methodB,polite,22,18,-0.02499631606042385,0.5445692539215088
methodB,polite,22,19,0.13589952886104584,0.7587670087814331
methodB,polite,23,0,0.0,0.0
methodB,polite,23,1,-0.023957621306180954,0.33189985156059265
methodB,polite,23,2,-0.05482364445924759,0.4792839586734772
methodB,polite,23,3,-0.07459208369255066,0.6169298887252808
methodB,polite,23,4,-0.09324842691421509,0.6644222736358643
methodB,polite,23,5,-0.07789009064435959,0.6683541536331177
methodB,polite,23,6,-0.040150828659534454,0.6383661031723022
methodB,polite,23,7,-0.06109112501144409,0.7424015402793884
methodB,polite,23,8,-0.03290003538131714,0.7925064563751221
methodB,polite,23,9,-0.0775681659579277,0.7463423609733582
methodB,polite,23,10,-0.04985892027616501,0.6886670589447021
methodB,polite,23,11,-0.03878714516758919,0.7604109048843384
methodB,polite,23,12,0.026714203879237175,0.9114760160446167
methodB,polite,23,13,0.12942634522914886,0.9833385348320007
methodB,polite,23,14,0.08586154133081436,0.856713593006134
methodB,polite,23,15,-0.023664604872465134,0.7907509803771973
methodB,polite,23,16,-0.006771499291062355,0.990607738494873
methodB,polite,23,17,-0.02776220254600048,0.9486758708953857
methodB,polite,23,18,-0.03699527680873871,0.829116702079773
methodB,polite,23,19,-0.02022087760269642,0.8580979108810425
methodB,polite,24,0,0.0,0.0
methodB,polite,24,1,0.005688146222382784,0.1717703640460968
methodB,polite,24,2,0.004303568508476019,0.25350239872932434
methodB,polite,24,3,0.03654371574521065,0.3350439965724945
methodB,polite,24,4,0.07291711866855621,0.40656808018684387
methodB,polite,24,5,0.09950711578130722,0.49918490648269653
methodB,polite,24,6,0.11514266580343246,0.5673302412033081
methodB,polite,24,7,0.14269202947616577,0.5895903706550598
methodB,polite,24,8,0.13039539754390717,0.6131889820098877
methodB,polite,24,9,0.1651061773300171,0.6418973207473755
