method,anchor_class,target_class,sequence_id,time_index,difference_norm
methodB,polite,polite,16,1,0.15832969546318054
methodB,polite,polite,16,2,0.25580090284347534
methodB,polite,polite,16,3,0.3976457715034485
methodB,polite,polite,16,4,0.38134458661079407
methodB,polite,polite,16,5,0.4213896095752716
methodB,polite,polite,16,6,0.4588615298271179
methodB,polite,polite,16,7,0.45186847448349
methodB,polite,polite,16,8,0.5212795734405518
methodB,polite,polite,16,9,0.4938018321990967
methodB,polite,polite,16,10,0.568237841129303
methodB,polite,polite,16,11,0.5060691237449646
methodB,polite,polite,16,12,0.550320029258728
methodB,polite,polite,16,13,0.5988112092018127
methodB,polite,polite,16,14,0.6131234169006348
methodB,polite,polite,16,15,0.6000747680664062
methodB,polite,polite,16,16,0.6243622899055481
methodB,polite,polite,16,17,0.6304404735565186
methodB,polite,polite,16,18,0.644124448299408
methodB,polite,polite,16,19,0.6027684211730957
methodB,truesmile,polite,16,0,0.16857565939426422
methodB,truesmile,polite,16,1,0.2157520353794098
methodB,truesmile,polite,16,2,0.39437851309776306
methodB,truesmile,polite,16,3,0.47718584537506104
methodB,truesmile,polite,16,4,0.5535628199577332
methodB,truesmile,polite,16,5,0.5644655823707581
methodB,truesmile,polite,16,6,0.5856530666351318
methodB,truesmile,polite,16,7,0.5940995812416077
methodB,truesmile,polite,16,8,0.6112027168273926
methodB,truesmile,polite,16,9,0.6156851649284363
methodB,truesmile,polite,16,10,0.6479578018188477
methodB,truesmile,polite,16,11,0.6203931570053101
methodB,truesmile,polite,16,12,0.6663203835487366
methodB,truesmile,polite,16,13,0.7796208262443542
methodB,truesmile,polite,16,14,0.8729914426803589
methodB,truesmile,polite,16,15,0.8445998430252075
methodB,truesmile,polite,16,16,0.8529937863349915
methodB,truesmile,polite,16,17,0.8799927234649658
methodB,truesmile,polite,16,18,0.884676992893219
methodB,truesmile,polite,16,19,0.831461489200592
methodB,ambiguous,polite,16,0,0.11446326225996017
methodB,ambiguous,polite,16,1,0.16177888214588165
methodB,ambiguous,polite,16,2,0.25011977553367615
methodB,ambiguous,polite,16,3,0.39584535360336304
methodB,ambiguous,polite,16,4,0.384755402803421
methodB,ambiguous,polite,16,5,0.3885415196418762
methodB,ambiguous,polite,16,6,0.4249865710735321
methodB,ambiguous,polite,16,7,0.5023537874221802
methodB,ambiguous,polite,16,8,0.5631203055381775
methodB,ambiguous,polite,16,9,0.501883864402771
methodB,ambiguous,polite,16,10,0.6001538038253784
methodB,ambiguous,polite,16,11,0.5296307802200317
methodB,ambiguous,polite,16,12,0.5588555335998535
methodB,ambiguous,polite,16,13,0.5739012956619263
methodB,ambiguous,polite,16,14,0.6460373997688293
methodB,ambiguous,polite,16,15,0.5700847506523132
methodB,ambiguous,polite,16,16,0.573563814163208
methodB,ambiguous,polite,16,17,0.6728578805923462
methodB,ambiguous,polite,16,18,0.5990874171257019
methodB,ambiguous,polite,16,19,0.6011655926704407
methodB,polite,polite,18,0,0.13806894421577454
methodB,polite,polite,18,1,0.11264005303382874
methodB,polite,polite,18,2,0.16211989521980286
methodB,polite,polite,18,3,0.18229612708091736
methodB,polite,polite,18,4,0.24371345341205597
methodB,polite,polite,18,5,0.4434834420681
methodB,polite,polite,18,6,0.5337361097335815
methodB,polite,polite,18,7,0.5387399792671204
methodB,polite,polite,18,8,0.5414285659790039
methodB,polite,polite,18,9,0.6049892902374268
methodB,polite,polite,18,10,0.49205049872398376
methodB,polite,polite,18,11,0.5440066456794739
methodB,polite,polite,18,12,0.6670759320259094
methodB,polite,polite,18,13,0.6936028003692627
methodB,polite,polite,18,14,0.8186622262001038
methodB,polite,polite,18,15,0.7620917558670044
methodB,polite,polite,18,16,0.6743212938308716
methodB,polite,polite,18,17,0.7152074575424194
methodB,polite,polite,18,18,0.6235184073448181
methodB,polite,polite,18,19,0.6360108256340027
methodB,truesmile,polite,18,0,0.1673983484506607
methodB,truesmile,polite,18,1,0.20315566658973694
methodB,truesmile,polite,18,2,0.3495948016643524
methodB,truesmile,polite,18,3,0.3315635323524475
methodB,truesmile,polite,18,4,0.4234093129634857
methodB,truesmile,polite,18,5,0.5635579824447632
methodB,truesmile,polite,18,6,0.6581974625587463
methodB,truesmile,polite,18,7,0.6708383560180664
methodB,truesmile,polite,18,8,0.6939859390258789
methodB,truesmile,polite,18,9,0.6811243295669556
methodB,truesmile,polite,18,10,0.6180617213249207
methodB,truesmile,polite,18,11,0.6384846568107605
methodB,truesmile,polite,18,12,0.7405456304550171
methodB,truesmile,polite,18,13,0.7702345252037048
methodB,truesmile,polite,18,14,0.8575025200843811
methodB,truesmile,polite,18,15,0.8477531671524048
methodB,truesmile,polite,18,16,0.8236134648323059
methodB,truesmile,polite,18,17,0.824376106262207
methodB,truesmile,polite,18,18,0.7206852436065674
methodB,truesmile,polite,18,19,0.7839696407318115
methodB,ambiguous,polite,18,0,0.13233397901058197
methodB,ambiguous,polite,18,1,0.12214808166027069
methodB,ambiguous,polite,18,2,0.15240603685379028
methodB,ambiguous,polite,18,3,0.1828940063714981
methodB,ambiguous,polite,18,4,0.22438596189022064
methodB,ambiguous,polite,18,5,0.4112744927406311
methodB,ambiguous,polite,18,6,0.5090322494506836
methodB,ambiguous,polite,18,7,0.6220595836639404
methodB,ambiguous,polite,18,8,0.6339913010597229
methodB,ambiguous,polite,18,9,0.6364948153495789
methodB,ambiguous,polite,18,10,0.5666187405586243
methodB,ambiguous,polite,18,11,0.5563742518424988
methodB,ambiguous,polite,18,12,0.6464590430259705
methodB,ambiguous,polite,18,13,0.6748301982879639
methodB,ambiguous,polite,18,14,0.8163634538650513
methodB,ambiguous,polite,18,15,0.7507576942443848
methodB,ambiguous,polite,18,16,0.6613845229148865
methodB,ambiguous,polite,18,17,0.6772204637527466
methodB,ambiguous,polite,18,18,0.6197729110717773
methodB,ambiguous,polite,18,19,0.6533510684967041
methodB,polite,polite,19,0,0.12070657312870026
methodB,polite,polite,19,1,0.10027427971363068
methodB,polite,polite,19,2,0.27019819617271423
methodB,polite,polite,19,3,0.33169010281562805
methodB,polite,polite,19,4,0.31739431619644165
methodB,polite,polite,19,5,0.4035787880420685
methodB,polite,polite,19,6,0.3962419629096985
methodB,polite,polite,19,7,0.48482856154441833
methodB,polite,polite,19,8,0.4393204152584076
methodB,polite,polite,19,9,0.46423807740211487
methodB,polite,polite,19,10,0.5446481704711914
methodB,polite,polite,19,11,0.6311407685279846
methodB,polite,polite,19,12,0.679385244846344
methodB,polite,polite,19,13,0.7191535234451294
methodB,polite,polite,19,14,0.6458864212036133
methodB,polite,polite,19,15,0.5920780897140503
methodB,polite,polite,19,16,0.6436918377876282
methodB,polite,polite,19,17,0.589779794216156
methodB,polite,polite,19,18,0.4953553378582001
methodB,polite,polite,19,19,0.5880789160728455
methodB,truesmile,polite,19,0,0.1684178113937378
methodB,truesmile,polite,19,1,0.18502891063690186
methodB,truesmile,polite,19,2,0.46634429693222046
methodB,truesmile,polite,19,3,0.44878605008125305
methodB,truesmile,polite,19,4,0.5190441608428955
methodB,truesmile,polite,19,5,0.5115227103233337
methodB,truesmile,polite,19,6,0.48251017928123474
methodB,truesmile,polite,19,7,0.5882837176322937
methodB,truesmile,polite,19,8,0.5629568099975586
methodB,truesmile,polite,19,9,0.5315769910812378
methodB,truesmile,polite,19,10,0.5603449940681458
methodB,truesmile,polite,19,11,0.6498097777366638
methodB,truesmile,polite,19,12,0.6877753138542175
methodB,truesmile,polite,19,13,0.747105598449707
methodB,truesmile,polite,19,14,0.7444345355033875
methodB,truesmile,polite,19,15,0.6804367303848267
methodB,truesmile,polite,19,16,0.7788203954696655
methodB,truesmile,polite,19,17,0.7360552549362183
methodB,truesmile,polite,19,18,0.6742328405380249
methodB,truesmile,polite,19,19,0.7308111190795898
